Facility Name,Address,Latitude,Longitude
Southern Air Quality Monitoring Station,"No.1 Aberdeen Praya Road, Hong Kong.",22.24746092,114.1601401
North Air Quality Monitoring Station,"19 Pak Wo Road, Sheung Shui, New Territories.",22.49669723,114.12824408
Kwun Tong Air Quality Monitoring Station,"Kwun Tong Police Station, 9 Lei Yue Mun Road, Kwun Tong, Kowloon",22.3096251,114.23117417
Tseung Kwan O Air Quality Monitoring Station,"Tseung Kwan O Sports Centre, 9 Wan Lung Road, Tseung Kwan O, Sai Kung",22.31764241,114.25956137
Tuen Mun Air Quality Monitoring Station,"Tuen Mun Public Library, 1 Tuen Hi Road, Tuen Mun, N.T.",22.39114326,113.97672832
Tung Chung Air Quality Monitoring Station,"Tung Chung Health Centre , 6 Fu Tung Street, Tung Chung, New Territories",22.28888887,113.94365902
Eastern Air Quality Monitoring Station,"Sai Wan Ho Fire Station, 20 Wai Hang Street, Eastern, Hong Kong",22.28288555,114.21937156
Tap Mun Air Quality Monitoring Station,Tap Mun Police Post,22.47131669,114.3607185
Kwai Chung Air Quality Monitoring Station,"Kwai Chung Police Station, 999 Kwai Chung Road, Kwai Chung, New Territories",22.35710398,114.12960136
Yuen Long Air Quality Monitoring Station,"Yuen Long District Office Building, 269 Castle Peak Road, Yuen Long, New Territories",22.44515508,114.02264888
Sha Tin Air Quality Monitoring Station,"Sha Tin Government Secondary School, 11-17 Man Lai Road, Sha Tin, New Territories",22.37628072,114.18453161
Sham Shui Po Air Quality Monitoring Station,"Sham Shui Po Police Station, 37A Yen Chow Street, Sham Shui Po, Kowloon",22.3302259,114.15910913
Tai Po Air Quality Monitoring Station,"Tai Po Government Offices Building, 1 Ting Kok Road, Tai Po, New Territories",22.45095988,114.16457022
Mong Kok Air Quality Monitoring Station,"Junction of Nathan Road and Lai Chi Kok Road, Mong Kok, Kowloon",22.32261115,114.16827176
Central/Western Air Quality Monitoring Station,"Sai Ying Pun Community Complex, 2 High Street, Central & Western, Hong Kong",22.28489089,114.14442071
Central Air Quality Monitoring Station,"Junction of Chater Road and Des Voeux Road Central, Central, Hong Kong",22.2818145,114.15812743
Causeway Bay Air Quality Monitoring Station,"1 Yee Wo Street, Causeway Bay, Hong Kong",22.28013296,114.18509009
Tsuen Wan Air Quality Monitoring Station,"Princess Alexandra Community Centre, 60 Tai Ho Road, Tsuen Wan, New Territories",22.37174191,114.11453491
